state,value
Alabama,85.96988066
Alaska,97.94051515
Arizona,78.75701663
Arkansas,92.84005862
California,72.69040063
Colorado,84.21406435
Connecticut,68.17120762
Delaware,67.14673066
Washington DC,27.08167129
Florida,72.31161798
Georgia,85.42426535
Hawaii,76.0245259
Idaho,94.98000639
Illinois,77.81158441
Indiana,84.28672432
Iowa,93.88049851
Kansas,94.15193523
Kentucky,88.28196258
Louisiana,78.59210788
Maine,85.39757878
Maryland,65.38903954
Massachusetts,59.52427656
Michigan,85.38195637
Minnesota,94.98704034
Mississippi,90.14863035
Missouri,90.48755538
Montana,92.17068604
Nebraska,96.13546183
Nevada,92.14200175
New Hampshire,83.41382541
New Jersey,63.21471376
New Mexico,93.04607207
New York,67.52813128
North Carolina,84.10936357
North Dakota,98.01431534
Ohio,79.41256246
Oklahoma,90.19212675
Oregon,89.84362306
Pennsylvania,71.99813297
Rhode Island,68.55461501
South Carolina,82.10115529
South Dakota,98.53449105
Tennessee,84.48597756
Texas,80.37934971
Utah,83.24974142
Vermont,85.45118615
Virginia,84.33911729
Washington,84.11516115
West Virginia,88.27946315
Wisconsin,92.4938845
Wyoming,95.13186131
"""""",0
"""""",0