state,year,value
"None",2012,0
Michigan,2012,94.38566847
California,2012,74.36054916
Kentucky,2012,89.79000816
Idaho,2012,96.24411623
Oregon,2012,97.14441053
Iowa,2012,84.66973056
North Dakota,2012,91.53996291
Georgia,2012,89.33849201
New Hampshire,2012,96.60452511
North Carolina,2012,95.42243568
Washington,2012,83.13151922
Alaska,2012,100
South Carolina,2012,76.30196
Kansas,2012,100
Indiana,2012,99.42622222
Delaware,2012,0
Illinois,2012,100
Wisconsin,2012,100
Ohio,2012,81.46998629
Massachusetts,2012,41.97636147
Wyoming,2012,100
Utah,2012,100
Nebraska,2012,100
Hawaii,2012,100
Minnesota,2012,100
Missouri,2012,94.21001752
South Dakota,2012,100
Rhode Island,2012,85.50855235
Tennessee,2012,89.68053068
Arizona,2012,95.92768279
New York,2012,75.68711265
Florida,2012,100
Nevada,2012,82.73911783
Alabama,2012,100
Maryland,2012,98.08902722
Colorado,2012,90.94503914
Vermont,2012,96.04058052
Connecticut,2012,44.04971327
Montana,2012,98.66431275
Virginia,2012,84.18975509
Texas,2012,94.57211957
Mississippi,2012,95.61300106
Washington DC,2012,26.15768594
Louisiana,2012,100
New Mexico,2012,83.65655353
Oklahoma,2012,93.31016261
West Virginia,2012,98.88592678
Maine,2012,100
Arkansas,2012,100
New Jersey,2012,96.47574528
Pennsylvania,2012,91.33688709
Michigan,2013,99.34479615
California,2013,94.71609225
Kentucky,2013,98.35326648
Idaho,2013,99.81922472
Oregon,2013,98.78270701
Iowa,2013,99.55813432
North Dakota,2013,98.62258965
Georgia,2013,96.12400765
New Hampshire,2013,96.65762075
North Carolina,2013,96.81708551
Washington,2013,98.25311671
Alaska,2013,99.81119489
South Carolina,2013,95.83393791
Kansas,2013,99.7581499
Indiana,2013,99.00741396
Delaware,2013,87.09240703
Illinois,2013,96.99938972
Wisconsin,2013,99.71955603
Ohio,2013,98.87345398
Massachusetts,2013,86.48490455
Wyoming,2013,99.41787391
Utah,2013,99.76859769
Nebraska,2013,99.89115192
Hawaii,2013,98.41748813
Minnesota,2013,99.82542454
Missouri,2013,99.46801214
South Dakota,2013,100
Rhode Island,2013,98.69441417
Tennessee,2013,96.92694537
Arizona,2013,98.83971151
New York,2013,86.30444533
Florida,2013,92.6578715
Nevada,2013,99.10857567
Alabama,2013,97.160164
Maryland,2013,90.17192948
Colorado,2013,98.77605937
Vermont,2013,96.04058052
Connecticut,2013,91.26714781
Montana,2013,99.40782242
Virginia,2013,96.25672546
Texas,2013,96.65329676
Mississippi,2013,98.02594758
Washington DC,2013,67.01154916
Louisiana,2013,93.31381887
New Mexico,2013,98.50637739
Oklahoma,2013,97.88183342
West Virginia,2013,97.25274584
Maine,2013,99.09289033
Arkansas,2013,99.33884319
New Jersey,2013,86.7648588
Pennsylvania,2013,94.67440442
Michigan,2014,89.73586458
California,2014,78.80433903
Kentucky,2014,91.89700598
Idaho,2014,95.99572114
Oregon,2014,93.23060699
Iowa,2014,96.17567828
North Dakota,2014,97.2749254
Georgia,2014,87.63305097
New Hampshire,2014,86.44078421
North Carolina,2014,88.02926345
Washington,2014,88.68079824
Alaska,2014,97.95938367
South Carolina,2014,85.39958871
Kansas,2014,95.43178283
Indiana,2014,88.47638064
Delaware,2014,74.58644218
Illinois,2014,82.94114996
Wisconsin,2014,94.65201702
Ohio,2014,87.97507858
Massachusetts,2014,65.91015014
Wyoming,2014,95.98755152
Utah,2014,85.37260593
Nebraska,2014,97.16344204
Hawaii,2014,85.63812512
Minnesota,2014,96.38535194
Missouri,2014,93.21779573
South Dakota,2014,99.01635094
Rhode Island,2014,78.38861846
Tennessee,2014,86.03234215
Arizona,2014,86.27248466
New York,2014,73.85380856
Florida,2014,77.97636126
Nevada,2014,92.61077235
Alabama,2014,87.80738057
Maryland,2014,71.5934857
Colorado,2014,88.43256965
Vermont,2014,88.18902784
Connecticut,2014,72.60287573
Montana,2014,94.74762525
Virginia,2014,87.00881092
Texas,2014,84.48281152
Mississippi,2014,91.84929894
Washington DC,2014,41.87334249
Louisiana,2014,81.10554269
New Mexico,2014,94.93423315
Oklahoma,2014,91.2637306
West Virginia,2014,90.94161793
Maine,2014,91.3956593
Arkansas,2014,94.44358626
New Jersey,2014,68.7319244
Pennsylvania,2014,77.61226666
Michigan,2015,85.38195637
California,2015,72.69040063
Kentucky,2015,88.28196258
Idaho,2015,94.98000639
Oregon,2015,89.84362306
Iowa,2015,93.88049851
North Dakota,2015,98.01431534
Georgia,2015,85.42426535
New Hampshire,2015,83.41382541
North Carolina,2015,84.10936357
Washington,2015,84.11516115
Alaska,2015,97.94051515
South Carolina,2015,82.10115529
Kansas,2015,94.15193523
Indiana,2015,84.28672432
Delaware,2015,67.14673066
Illinois,2015,77.81158441
Wisconsin,2015,92.4938845
Ohio,2015,79.41256246
Massachusetts,2015,59.52427656
Wyoming,2015,95.13186131
Utah,2015,83.24974142
Nebraska,2015,96.13546183
Hawaii,2015,76.0245259
Minnesota,2015,94.98704034
Missouri,2015,90.48755538
South Dakota,2015,98.53449105
Rhode Island,2015,68.55461501
Tennessee,2015,84.48597756
Arizona,2015,78.75701663
New York,2015,67.52813128
Florida,2015,72.31161798
Nevada,2015,92.14200175
Alabama,2015,85.96988066
Maryland,2015,65.38903954
Colorado,2015,84.21406435
Vermont,2015,85.45118615
Connecticut,2015,68.17120762
Montana,2015,92.17068604
Virginia,2015,84.33911729
Texas,2015,80.37934971
Mississippi,2015,90.14863035
Washington DC,2015,27.08167129
Louisiana,2015,78.59210788
New Mexico,2015,93.04607207
Oklahoma,2015,90.19212675
West Virginia,2015,88.27946315
Maine,2015,85.39757878
Arkansas,2015,92.84005862
New Jersey,2015,63.21471376
Pennsylvania,2015,71.99813297
